"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 12:36:34 GMT 2022","Tue Oct 11 12:37:42 GMT 2022","67849","","Telnyx","","","","should have the correct title of all product links",""
"passed","Tue Oct 11 12:36:07 GMT 2022","Tue Oct 11 12:36:17 GMT 2022","10032","","Telnyx","","","","should registration with right credentials",""
"passed","Tue Oct 11 12:36:23 GMT 2022","Tue Oct 11 12:36:30 GMT 2022","6968","","Telnyx","","","","should after move to Products, show right href",""
"passed","Tue Oct 11 12:35:34 GMT 2022","Tue Oct 11 12:35:37 GMT 2022","2195","","Telnyx","","","","should has Telnyx in title",""
"passed","Tue Oct 11 12:36:30 GMT 2022","Tue Oct 11 12:36:34 GMT 2022","3485","","Telnyx","","","","should after move to Pricing, show right count href",""
"passed","Tue Oct 11 12:35:46 GMT 2022","Tue Oct 11 12:35:52 GMT 2022","5899","","Telnyx","","","","should after enter email on main page, show email on register page",""
"passed","Tue Oct 11 12:36:17 GMT 2022","Tue Oct 11 12:36:23 GMT 2022","6303","","Telnyx","","","","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Tue Oct 11 12:35:40 GMT 2022","Tue Oct 11 12:35:46 GMT 2022","5454","","Telnyx","","","","should after click on ""Sign up"", contain title Sign Up",""
"failed","Tue Oct 11 12:35:52 GMT 2022","Tue Oct 11 12:36:07 GMT 2022","14708","","Telnyx","","","","should registration with empty credentials",""
"passed","Tue Oct 11 12:35:37 GMT 2022","Tue Oct 11 12:35:40 GMT 2022","3696","","Telnyx","","","","should has buttons on the page menu",""
